"","hs_cotinine_adj_ln_iqr","hs_as_m_log2_iqr","hs_cd_m_log2_iqr","hs_co_m_log2_iqr","hs_cs_m_log2_iqr","hs_cu_m_log2_iqr","hs_hg_m_log2_iqr","hs_mn_m_log2_iqr","hs_mo_m_log2_iqr","hs_pb_m_log2_iqr","hs_dde_adj_log2_iqr","hs_ddt_adj_log2_iqr","hs_hcb_adj_log2_iqr","hs_pcb118_adj_log2_iqr","hs_pcb138_adj_log2_iqr","hs_pcb153_adj_log2_iqr","hs_pcb170_adj_log2_iqr","hs_pcb180_adj_log2_iqr","hs_dep_adj_log2_iqr","hs_detp_adj_log2_iqr","hs_dmdtp_adj_log2_iqr","hs_dmp_adj_log2_iqr","hs_dmtp_adj_log2_iqr","hs_pbde153_adj_log2_iqr","hs_pbde47_adj_log2_iqr","hs_pfhxs_m_log2_iqr","hs_pfna_m_log2_iqr","hs_pfoa_m_log2_iqr","hs_pfos_m_log2_iqr","hs_pfunda_m_log2_iqr","hs_bpa_adj_log2_iqr","hs_bupa_adj_log2_iqr","hs_etpa_adj_log2_iqr","hs_mepa_adj_log2_iqr","hs_oxbe_adj_log2_iqr","hs_prpa_adj_log2_iqr","hs_trcs_adj_log2_iqr","hs_mbzp_adj_log2_iqr","hs_mecpp_adj_log2_iqr","hs_mehhp_adj_log2_iqr","hs_mehp_adj_log2_iqr","hs_meohp_adj_log2_iqr","hs_mep_adj_log2_iqr","hs_mibp_adj_log2_iqr","hs_mnbp_adj_log2_iqr","hs_ohminp_adj_log2_iqr","hs_oxominp_adj_log2_iqr","cohortBiB","cohortINMA","cohortKANC","cohortRHEA","smokingYes","mother_bmiUnderweight","mother_bmiOverweight","mother_bmiObesity","mother_age","mother_eduSecondary","mother_edu>=University","parity1_child","parity2_or_more_children","conception_trimApril-June","conception_trimJuly-Sept","conception_trimOct-Dec","mother_workEmployed","child_age","sexMale"
"12",0,0,0,0,0,-0.0336639650418162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1937274514049,0.0466348447554763,-0.213209233827414,0.0722103603822256,0.17874117858407,-0.445238844102046,-0.0277428050573157,0.0831161543251431,-0.0100651780078847,-0.153015952429516,-0.231728185726206,-0.016611105608809,0.034351079117009,-0.0136501992331676,-0.0376241903646239,0.0201985825632971,-0.193946996316769,-0.0982288764106043,0.206820941667145
"13",0,-0.00538894827902748,0.120738297406578,0,-0.0617343422629599,-0.0832167823847236,0,-0.017253150372474,0,0,-0.0395285776008387,-0.00970456474802293,-0.00112932032671321,0,0,0,-0.02945944459861,0,0,0,0,0,0.0154649131846573,0.00563174302831384,-0.0477123274471117,0,0,0,0,-0.0238951964882004,0.0230595557869822,0,-0.00855766240211779,-0.000997040973685996,0,-0.0195120535882782,0,0,0,0,0,-0.0271803626785184,0,0,0.048540874136347,0,0,-1.21125142110011,0.0600829789604234,-0.168815410225532,0.0224389903307621,0.106345944402393,-0.488577844635272,0.00887992498883312,0.0959008244804069,-0.00773918857333633,-0.0620689393964583,-0.159925359589563,-0.0356550830821373,-0.0235767283550411,0.0196396533209513,0.00694165764933852,0.0439433771683656,-0.162854047127735,-0.0926888694943789,0.188650959711522
"14",0,0,0,0,0,-0.0092455041879641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19061792862297,0.0440970146551811,-0.21730993148954,0.0625332861528776,0.180064426737287,-0.420953124837686,-0.0124058172476406,0.102778594555143,-0.0101567423755446,-0.183913384544253,-0.264352877799148,-0.00898218070768899,0.0381644439123458,-0.00131060258191578,-0.0296275071993311,0.0256424591487839,-0.16779514626607,-0.107052319518308,0.203954604687234
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18615301396303,0.0536582319850251,-0.224272927954404,0.0696751280677403,0.188236091362853,-0.45130701476998,-0.0246640412416079,0.0680244931378534,-0.0102919248543256,-0.162634565170737,-0.254778853609131,-0.0165941339410031,0.0284408021260528,0.00359426064978293,-0.0321750799872982,0.0264572202523511,-0.170491014164201,-0.106885393717149,0.207062560574062
"16",0,0,0,0,0,-0.0109843226520121,0,0,0,0,0,-0.0419162538556556,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112035225250903,0,0,0,0,0,0.000959989411722786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25702327294225,0.0480183443856138,-0.225189348684568,0.0640152725029017,0.178220477877821,-0.465921762445284,-0.0227590967307334,0.100558101754233,-0.00935433602206253,-0.160266444515648,-0.256546085694237,-0.0236769109901072,0.0271985010303577,0.000888549477687862,-0.0357577429689254,0.0180979673607603,-0.220380620120488,-0.106414393415607,0.207674795021484
"17",0,0,0.0029929561784208,0.0731067375826364,0,-0.0577310000732735,0,0,0,0,0,-0.0327735881371845,0,-0.00423311133615031,0,0,0,0,0,0,0,0,0,0,-0.00218627853883083,0,0,0,0,0,0.0127269907963978,0,0,0,0,-0.00378299487518881,0,0,0,0,0,0,0,0,0.0120951415828746,0,0,-1.22122593513834,0.0517130382104016,-0.208950003965819,0.0554426407458726,0.165248876053965,-0.4947028137136,-0.024536524214295,0.117161476560866,-0.00887247680365431,-0.179049135838252,-0.273131530189308,-0.0225691830869653,0.0160544534930111,-0.0247987016434492,-0.0495149139887385,0.0140595245459618,-0.180762817251172,-0.0953699908042983,0.203966127023726
"18",0,0,0,0.0906115050265707,0,-0.0248490748163023,0,0,0,0,0,-0.000391737415072883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21715814089063,0.0660045987728087,-0.207695735250788,0.0454854438628888,0.185480017974342,-0.509717870936833,-0.0352707954289392,0.0889112483690682,-0.00946818133581509,-0.164713943156158,-0.270690371798556,-0.018336491542559,0.0229982705826814,-0.0173360352530676,-0.0534447265372583,0.0392677075314765,-0.216646233368967,-0.0949500735783468,0.2046233241793
"19",0,0,0,0,0,-0.0526471481045818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00627577957460932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20818787610026,0.0429771102302953,-0.210559314015607,0.0941589063512625,0.17752426802074,-0.458941037479155,-0.0148479232358311,0.11034327656642,-0.0106230165565632,-0.148899801273664,-0.23847599446102,-0.0139062954224878,0.0281085702139402,-0.00149290622235443,-0.0300723643775918,0.0262135753597875,-0.193472557738739,-0.104825368999718,0.212341705015465
"20",0,0,0,0.0321836290769465,0,-0.0936513648061873,0,0.000134361472519455,0,0,0,-0.0556580412937215,0,-0.0667898495213208,0,0,0,0,0,0,0,0,0,0,-0.0566086348465554,0,0,0,0,-0.0321350217425183,0.019058901028166,0,0,0,0,-0.022519665664158,0,0,0,0,0,0,0,0,0.0326040339776447,0,0,-1.31526607831264,0.071769398303903,-0.208277150025161,0.0560393322607686,0.177586028370788,-0.54098812761002,-0.0162041193322298,0.122892154893112,-0.00547519669101788,-0.195653690137852,-0.303473967491392,-0.0198594495005531,0.00918873745965628,-0.0187974825296907,-0.0420204860888842,0.00554087201633053,-0.174076426094118,-0.119843586203958,0.209177733813084
"21",0,0,0,0.0374273531000941,0,-0.0155563885484664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19747253793784,0.0563136594952513,-0.211741985202459,0.0549201415848575,0.183212917142054,-0.464618708761721,-0.0218423772755873,0.0811893731786198,-0.0103139556280223,-0.175396769705829,-0.259512929263331,-0.0155377186269724,0.0428336447869637,-0.00778650999419154,-0.0375777544713304,0.0200815888707663,-0.180437938815704,-0.104489819228153,0.202421023346865
